Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2012","2012","1000 US$","372395","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2013","2013","1000 US$","337357","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2014","2014","1000 US$","385670","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2015","2015","1000 US$","368100","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2016","2016","1000 US$","265585","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2017","2017","1000 US$","362320","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2018","2018","1000 US$","327096","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2019","2019","1000 US$","333273","A","Official figure"
"TCL","Crops and livestock products","056","Belgium","5922","Export Value","02211","Raw milk of cattle","2020","2020","1000 US$","345620","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1961","1961","tonnes","6051","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1962","1962","tonnes","6687","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1963","1963","tonnes","5251","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1964","1964","tonnes","12084","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1965","1965","tonnes","18306","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1966","1966","tonnes","19891","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1967","1967","tonnes","18880","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1968","1968","tonnes","20461","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1969","1969","tonnes","26276","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1970","1970","tonnes","21442","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1971","1971","tonnes","14815","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1972","1972","tonnes","36151","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1973","1973","tonnes","72279","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1974","1974","tonnes","59133","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1975","1975","tonnes","83666","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1976","1976","tonnes","99391","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1977","1977","tonnes","100988","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1978","1978","tonnes","2663","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1979","1979","tonnes","314","A","Official figure"
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export Quantity","02211","Raw milk of cattle","1980","1980","tonnes","40","A","Official figure"
